Age,Percentage
0.5000000000000036, 29.315306122448987
1.214285714285717, 29.754081632653055
1.642857142857146, 30.33163265306122
2.0714285714285747, 30.909183673469386
2.714285714285717, 31.204081632653057
3.714285714285717, 31.789795918367346
4.214285714285717, 32.36836734693877
4.928571428571431, 32.37857142857142
5.571428571428573, 32.81632653061223
6.428571428571431, 33.68571428571428
7, 33.979591836734684
7.642857142857142, 34.274489795918356
8.5, 35.14387755102041
9.357142857142858, 35.441836734693865
10.214285714285715, 35.739795918367335
11.357142857142858, 36.47040816326529
12.928571428571427, 36.49285714285713
14.428571428571423, 36.514285714285705
15.428571428571427, 36.52857142857141
16.357142857142854, 36.39897959183672
17.07142857142857, 35.69489795918365
17.642857142857142, 35.417346938775495
18.28571428571428, 35.42653061224489
18.928571428571427, 35.00714285714284
19.499999999999996, 34.58673469387753
20.21428571428571, 34.59693877551018
20.785714285714285, 34.176530612244875
21.285714285714285, 33.755102040816325
21.928571428571423, 33.335714285714275
22.57142857142857, 32.7734693877551
23.07142857142857, 32.49489795918366
23.785714285714278, 31.93367346938774
24.357142857142854, 31.513265306122435
25.071428571428562, 31.380612244897947
25.64285714285713, 30.96020408163264
26.14285714285713, 30.6816326530612
26.499999999999993, 30.258163265306123
27.14285714285713, 29.838775510204073
27.857142857142847, 29.420408163265293
28.499999999999986, 28.858163265306118
29.14285714285713, 28.581632653061206
29.928571428571423, 28.021428571428558
30.64285714285714, 27.46020408163264
31.428571428571423, 27.042857142857116
32.21428571428571, 26.76836734693876
32.99999999999999, 26.351020408163237
33.57142857142856, 26.35918367346936
34.428571428571416, 25.94285714285712
35.28571428571428, 25.669387755102022
36.07142857142856, 25.10918367346936
36.85714285714285, 24.691836734693865
37.571428571428555, 24.702040816326516
38.35714285714284, 24.713265306122437
39.071428571428555, 24.723469387755088
39.78571428571427, 24.447959183673447
40.42857142857141, 24.457142857142827
41.2142857142857, 24.32551020408161
41.928571428571416, 24.19285714285712
42.64285714285713, 24.203061224489772
43.428571428571416, 24.214285714285694
44.571428571428555, 24.23061224489794
45.499999999999986, 24.101020408163237
46.49999999999998, 23.82959183673468
47.28571428571426, 23.840816326530586
48.714285714285694, 23.8612244897959
50.142857142857125, 23.453061224489772
51.142857142857125, 23.1816326530612
51.714285714285694, 23.189795918367324
52.85714285714284, 23.063265306122418
54.14285714285713, 22.795918367346914
55.57142857142855, 22.673469387755077
56.7142857142857, 22.261224489795893
58.07142857142855, 21.994897959183646
59.07142857142855, 21.437755102040796
60.14285714285712, 21.16734693877548
60.92857142857141, 20.74999999999997
61.92857142857141, 20.192857142857108
62.78571428571427, 20.2051020408163
63.57142857142855, 19.644897959183652
64.57142857142856, 19.230612244897927
65.42857142857139, 18.81428571428569
66.42857142857139, 18.685714285714255
67.42857142857139, 17.985714285714266
68.49999999999997, 17.57244897959181
69.57142857142853, 17.159183673469343
70.99999999999997, 16.465306122448936
71.99999999999997, 15.765306122448933
73.07142857142856, 15.352040816326493
74.35714285714283, 14.798979591836698
75.42857142857142, 14.385714285714258
76.42857142857142, 14.114285714285671
77.49999999999997, 13.558163265306078
78.35714285714283, 12.856122448979562
79.07142857142853, 12.866326530612213
80.07142857142853, 12.594897959183626
81.35714285714283, 12.041836734693845
82.42857142857139, 11.485714285714252
83.35714285714283, 11.356122448979562
84.14285714285711, 11.081632653061192
85.07142857142856, 10.809183673469363
85.85714285714283, 10.534693877550978
86.78571428571425, 10.119387755101997
87.49999999999997, 10.129591836734647
87.99999999999997, 9.851020408163237
88.57142857142853, 9.85918367346936
89.2142857142857, 9.725510204081587
89.78571428571425, 9.590816326530572
90.28571428571425, 9.597959183673424
